date,order_id,region,channel,segment,product,customer,units,unit_price,discount_rate,revenue,cost,gross_profit,margin,target_revenue
2024-01-12,ORD-00020,Sudeste,Parceiros,Enterprise,Enterprise Pro,Nexo Energia,1,63721.12,0.1021,55921.87,35058.14,20863.73,0.3731,58727.00
2024-01-19,ORD-00021,Centro-Oeste,Digital,Mid-market,Enterprise Pro,Lumina Saúde,3,63465.25,0.0516,185018.46,108543.33,76475.13,0.4133,190940.23
2024-01-13,ORD-00022,Sul,Venda direta,Enterprise,Revenue Starter,Via Norte,1,17602.90,0.0546,16942.78,9343.27,7599.51,0.4485,17496.89
2024-01-18,ORD-00023,Sul,Venda direta,SMB,Enterprise Pro,Atlas Group,4,63001.46,0.0464,248326.70,148627.31,99699.39,0.4015,261048.74
2024-01-10,ORD-00024,Sudeste,Outros,SMB,Enterprise Pro,Pulsar Tech,2,60444.12,0.0556,118793.88,70564.18,48229.70,0.4060,122126.31
2024-01-23,ORD-00025,Centro-Oeste,Venda direta,Enterprise,Enterprise Pro,Lumina Saúde,1,60036.65,0.0582,56982.24,34144.89,22837.35,0.4008,59745.48
2024-01-08,ORD-00026,Sudeste,Digital,Enterprise,Revenue Starter,Horizonte Telecom,1,17641.43,0.0535,16313.97,9010.75,7303.22,0.4477,16963.67
2024-01-02,ORD-00027,Sul,Venda direta,Mid-market,Analytics Core,Aurora Foods,3,34856.29,0.0544,101543.12,71171.37,30371.75,0.2991,104311.36
2024-01-15,ORD-00028,Sudeste,Venda direta,Enterprise,Enterprise Pro,Nexo Energia,2,64209.11,0.0437,125213.01,73746.55,51466.47,0.4110,129691.89
2024-01-03,ORD-00029,Sudeste,Parceiros,Enterprise,Enterprise Pro,Horizonte Telecom,2,61581.12,0.0926,111444.29,67210.27,44234.02,0.3969,116819.36
2024-01-22,ORD-00030,Sudeste,Parceiros,Mid-market,Data Cloud,Horizonte Telecom,2,47241.24,0.1182,82467.34,54548.98,27918.36,0.3385,86788.03
2024-01-22,ORD-00031,Sudeste,Venda direta,Mid-market,Enterprise Pro,Orbe Retail,2,62306.54,0.0433,122363.56,71491.91,50871.65,0.4157,127127.06
2024-01-18,ORD-00032,Nordeste,Venda direta,Enterprise,Analytics Core,Atlas Group,1,35323.89,0.0644,32282.26,22387.04,9895.22,0.3065,33495.74
2024-01-03,ORD-00033,Centro-Oeste,Digital,SMB,Revenue Starter,Aurora Foods,4,17870.11,0.0823,65349.08,35934.72,29414.36,0.4501,67219.73
2024-01-14,ORD-00034,Sudeste,Venda direta,Enterprise,Revenue Starter,Pulsar Tech,1,18515.48,0.0611,17192.43,9439.99,7752.44,0.4509,18073.08
2024-01-24,ORD-00035,Sudeste,Parceiros,Enterprise,Revenue Starter,Horizonte Telecom,1,18348.28,0.1092,16408.67,9729.16,6679.50,0.4071,17189.91
2024-01-23,ORD-00036,Sul,Venda direta,Mid-market,Analytics Core,Nexo Energia,2,35536.07,0.0446,67285.84,46641.20,20644.65,0.3068,70866.02
2024-01-13,ORD-00037,Sul,Venda direta,Mid-market,Analytics Core,Pulsar Tech,2,34201.94,0.0532,66225.15,45723.70,20501.44,0.3096,70192.82
2024-01-10,ORD-00038,Nordeste,Venda direta,Enterprise,Enterprise Plus,Prisma Serviços,1,70702.89,0.0416,70289.96,49529.77,20760.18,0.2954,72966.88
2024-01-13,ORD-00039,Nordeste,Venda direta,Enterprise,Data Cloud,Pulsar Tech,1,46313.63,0.0531,43145.29,27448.51,15696.78,0.3638,45625.84
2024-01-14,ORD-00040,Sudeste,Digital,SMB,Data Cloud,Cobalto Indústria,2,49657.63,0.0694,95180.20,60149.67,35030.53,0.3680,99952.05
2024-01-09,ORD-00041,Nordeste,Parceiros,Enterprise,Data Cloud,Nexo Energia,2,48965.57,0.0929,90751.67,59767.78,30983.88,0.3414,93890.87
2024-01-08,ORD-00042,Centro-Oeste,Parceiros,SMB,Enterprise Pro,Atlas Group,4,60039.29,0.1196,218164.33,133259.57,84904.76,0.3892,225987.86
2024-01-09,ORD-00043,Centro-Oeste,Venda direta,Mid-market,Enterprise Pro,Orbe Retail,3,61492.34,0.0605,179136.08,107903.58,71232.50,0.3976,188981.68
2024-01-11,ORD-00044,Nordeste,Venda direta,Enterprise,Enterprise Pro,Atlas Group,1,61943.04,0.0590,58370.88,34798.17,23572.71,0.4038,60564.39
2024-01-02,ORD-00045,Sul,Venda direta,Enterprise,Data Cloud,Mosaico Labs,1,49419.38,0.0487,46075.47,29588.51,16486.96,0.3578,47825.11
2024-01-09,ORD-00046,Sudeste,Venda direta,Mid-market,Analytics Core,Prisma Serviços,1,35178.97,0.0614,33977.86,23347.72,10630.14,0.3129,34953.45
2024-01-09,ORD-00047,Nordeste,Parceiros,Mid-market,Revenue Starter,Lumina Saúde,1,17756.05,0.1074,15951.15,9259.36,6691.79,0.4195,16887.46
2024-01-15,ORD-00048,Sudeste,Venda direta,Enterprise,Revenue Starter,Vértice Logística,1,17762.10,0.0687,16182.91,8938.48,7244.44,0.4477,17111.71
2024-01-25,ORD-00049,Sudeste,Venda direta,Enterprise,Enterprise Plus,Atlas Group,1,71197.74,0.0429,71227.36,51156.71,20070.65,0.2818,75391.73
2024-01-26,ORD-00050,Nordeste,Digital,Enterprise,Analytics Core,Vértice Logística,1,35434.50,0.0552,33146.32,23123.29,10023.02,0.3024,34620.84
2024-01-01,ORD-00051,Sudeste,Parceiros,Enterprise,Revenue Starter,Orbe Retail,1,17928.14,0.0944,16492.77,9456.97,7035.80,0.4266,17393.70
2024-01-20,ORD-00052,Sul,Venda direta,Mid-market,Enterprise Plus,Cobalto Indústria,3,68415.48,0.0527,189948.17,136628.52,53319.66,0.2807,200073.94
2024-01-13,ORD-00053,Sul,Venda direta,Enterprise,Revenue Starter,Nexo Energia,1,18320.87,0.0407,17463.26,9969.69,7493.57,0.4291,18506.41
2024-01-26,ORD-00054,Nordeste,Digital,Enterprise,Enterprise Pro,Horizonte Telecom,1,62144.94,0.0525,59226.36,34381.86,24844.49,0.4195,61141.46
2024-01-15,ORD-00055,Sudeste,Venda direta,SMB,Data Cloud,Via Norte,5,49814.33,0.0425,250335.95,161234.77,89101.18,0.3559,261053.62
2024-01-09,ORD-00056,Sul,Parceiros,SMB,Enterprise Pro,Pulsar Tech,5,60214.84,0.1172,276413.00,168258.16,108154.84,0.3913,290835.71
2024-01-13,ORD-00057,Centro-Oeste,Venda direta,Enterprise,Enterprise Plus,Horizonte Telecom,2,68968.50,0.0525,135187.85,97391.47,37796.38,0.2796,140707.06
2024-01-12,ORD-00058,Nordeste,Parceiros,Mid-market,Enterprise Plus,Nexo Energia,3,69317.45,0.0922,190898.85,139182.72,51716.13,0.2709,198966.87
2024-01-19,ORD-00059,Sudeste,Outros,Enterprise,Enterprise Pro,Mosaico Labs,2,63036.78,0.0461,122689.40,72105.80,50583.60,0.4123,127298.98
2024-01-01,ORD-00060,Sul,Digital,SMB,Analytics Core,Via Norte,4,35491.22,0.0774,130413.85,91449.61,38964.24,0.2988,136408.09
2024-01-08,ORD-00061,Sul,Parceiros,Enterprise,Enterprise Pro,Horizonte Telecom,1,59789.55,0.1226,53758.69,33135.11,20623.59,0.3836,56205.61
2024-01-26,ORD-00062,Nordeste,Venda direta,SMB,Data Cloud,Prisma Serviços,3,49571.44,0.0549,139365.50,89797.47,49568.02,0.3557,144927.67
2024-01-19,ORD-00063,Nordeste,Venda direta,Mid-market,Data Cloud,Lumina Saúde,3,49507.17,0.0696,141007.18,89802.44,51204.74,0.3631,145305.92
2024-01-09,ORD-00064,Sul,Digital,SMB,Revenue Starter,Mosaico Labs,4,18304.95,0.0535,68210.49,37596.52,30613.96,0.4488,69953.21
2024-01-10,ORD-00065,Sudeste,Parceiros,SMB,Data Cloud,Via Norte,4,46721.51,0.1245,160047.29,105634.15,54413.14,0.3400,166613.33
2024-01-06,ORD-00066,Sudeste,Parceiros,SMB,Data Cloud,Pulsar Tech,4,47372.06,0.1052,170163.65,112980.71,57182.94,0.3360,177146.72
2024-01-03,ORD-00067,Nordeste,Venda direta,Enterprise,Revenue Starter,Orbe Retail,1,17554.20,0.0352,17443.79,9619.97,7823.81,0.4485,18323.55
2024-01-19,ORD-00068,Sudeste,Venda direta,Enterprise,Enterprise Pro,Mosaico Labs,1,62277.12,0.0425,60009.15,35747.67,24261.48,0.4043,63534.21
2024-01-08,ORD-00069,Sudeste,Parceiros,Mid-market,Data Cloud,Nexo Energia,3,46167.00,0.1093,120408.23,79894.51,40513.71,0.3365,123670.35
2024-01-16,ORD-00070,Nordeste,Parceiros,SMB,Enterprise Pro,Nexo Energia,3,60588.77,0.1133,168886.12,101874.91,67011.21,0.3968,176615.42
2024-01-27,ORD-00071,Centro-Oeste,Venda direta,SMB,Data Cloud,Vértice Logística,2,46308.01,0.0548,90237.28,56781.57,33455.72,0.3708,93466.58
2024-01-15,ORD-00072,Sul,Parceiros,Mid-market,Enterprise Plus,Pulsar Tech,2,73352.78,0.1197,126440.36,93314.47,33125.89,0.2620,131183.94
2024-01-06,ORD-00073,Sul,Parceiros,Enterprise,Revenue Starter,Horizonte Telecom,1,18166.37,0.1171,16029.99,9555.44,6474.55,0.4039,16892.77
2024-01-23,ORD-00074,Sudeste,Venda direta,Mid-market,Revenue Starter,Via Norte,2,17415.02,0.0358,33797.05,18659.05,15138.00,0.4479,35058.13
2024-01-03,ORD-00075,Nordeste,Digital,Enterprise,Data Cloud,Via Norte,1,47776.50,0.0605,44040.06,28611.14,15428.92,0.3503,46058.42
2024-01-16,ORD-00076,Centro-Oeste,Digital,Enterprise,Data Cloud,Horizonte Telecom,1,48083.45,0.0845,44954.93,28430.56,16524.37,0.3676,46491.89
2024-01-09,ORD-00077,Sul,Venda direta,Enterprise,Data Cloud,Horizonte Telecom,1,47003.29,0.0594,44863.75,28382.44,16481.31,0.3674,46873.49
2024-01-06,ORD-00078,Sudeste,Parceiros,SMB,Enterprise Pro,Cobalto Indústria,4,59712.98,0.0911,220262.70,134285.96,85976.74,0.3903,232061.31
2024-01-09,ORD-00079,Sudeste,Venda direta,SMB,Enterprise Plus,Aurora Foods,3,73580.64,0.0494,206513.11,146432.01,60081.10,0.2909,212347.18
2024-01-27,ORD-00080,Nordeste,Outros,Enterprise,Enterprise Pro,Pulsar Tech,1,60600.31,0.0659,55394.41,32320.49,23073.92,0.4165,58416.29
2024-01-16,ORD-00081,Sudeste,Venda direta,Mid-market,Enterprise Plus,Orbe Retail,1,73527.62,0.0592,67671.80,47205.85,20465.95,0.3024,70805.16
2024-01-20,ORD-00082,Sudeste,Venda direta,Mid-market,Analytics Core,Pulsar Tech,2,33821.75,0.0468,65173.53,45384.17,19789.37,0.3036,67972.12
2024-01-25,ORD-00083,Sudeste,Venda direta,Mid-market,Enterprise Pro,Mosaico Labs,2,60857.07,0.0391,116547.93,68327.51,48220.43,0.4137,120343.16
2024-01-19,ORD-00084,Sul,Venda direta,Enterprise,Enterprise Plus,Vértice Logística,1,73383.71,0.0629,68612.92,49251.80,19361.12,0.2822,70961.94
2024-01-02,ORD-00085,Centro-Oeste,Parceiros,Enterprise,Analytics Core,Lumina Saúde,1,35755.79,0.1214,32475.73,23362.04,9113.69,0.2806,33779.20
2024-01-15,ORD-00086,Sul,Parceiros,Mid-market,Enterprise Pro,Nexo Energia,2,60716.88,0.0992,107531.60,64897.50,42634.10,0.3965,110425.33
2024-01-26,ORD-00087,Sudeste,Parceiros,Enterprise,Enterprise Plus,Via Norte,2,68337.00,0.0950,124995.54,91742.17,33253.36,0.2660,131960.36
2024-01-07,ORD-00088,Sudeste,Parceiros,Mid-market,Data Cloud,Mosaico Labs,2,46301.31,0.1045,82474.94,55728.99,26745.95,0.3243,85664.81
2024-01-19,ORD-00089,Sudeste,Parceiros,SMB,Analytics Core,Vértice Logística,2,34006.34,0.1190,58325.08,41836.00,16489.08,0.2827,61103.69
2024-01-14,ORD-00090,Sudeste,Venda direta,Mid-market,Data Cloud,Lumina Saúde,3,49615.11,0.0528,138980.66,90415.67,48564.99,0.3494,146490.52
2024-01-10,ORD-00091,Sul,Parceiros,Enterprise,Enterprise Pro,Vértice Logística,1,59888.27,0.1027,53342.54,32625.14,20717.41,0.3884,54704.66
2024-01-11,ORD-00092,Sul,Parceiros,Enterprise,Enterprise Plus,Vértice Logística,1,72796.50,0.0919,66543.04,49238.77,17304.27,0.2600,69797.95
2024-01-06,ORD-00093,Sudeste,Parceiros,Enterprise,Data Cloud,Nexo Energia,2,49582.11,0.1108,87563.00,57708.27,29854.73,0.3410,90283.47
2024-01-05,ORD-00094,Sudeste,Venda direta,Mid-market,Revenue Starter,Cobalto Indústria,2,18224.81,0.0655,34030.84,19003.04,15027.79,0.4416,35821.07
2024-01-11,ORD-00095,Centro-Oeste,Parceiros,SMB,Revenue Starter,Nexo Energia,3,18601.57,0.1183,49012.24,29214.70,19797.54,0.4039,51556.44
2024-01-18,ORD-00096,Centro-Oeste,Digital,Mid-market,Enterprise Plus,Atlas Group,3,69535.71,0.0603,203216.39,143186.87,60029.52,0.2954,209103.43
2024-01-06,ORD-00097,Sul,Digital,Enterprise,Analytics Core,Cobalto Indústria,1,35814.25,0.0591,35249.20,24286.15,10963.06,0.3110,36509.56
2024-01-01,ORD-00098,Sul,Outros,Mid-market,Data Cloud,Prisma Serviços,3,47569.58,0.0458,137934.30,87801.82,50132.49,0.3635,146048.24
2024-01-20,ORD-00099,Nordeste,Venda direta,Mid-market,Analytics Core,Cobalto Indústria,1,36290.89,0.0556,35098.20,24584.94,10513.26,0.2995,36093.22
2024-01-08,ORD-00100,Sudeste,Venda direta,SMB,Enterprise Pro,Horizonte Telecom,4,61266.20,0.0549,226059.08,133119.68,92939.40,0.4111,238012.23
2024-01-20,ORD-00101,Sul,Outros,SMB,Enterprise Plus,Horizonte Telecom,3,70982.78,0.0632,202689.76,145780.12,56909.63,0.2808,208018.53
2024-01-05,ORD-00102,Nordeste,Parceiros,Enterprise,Enterprise Pro,Via Norte,1,62235.71,0.1026,57759.20,35739.33,22019.87,0.3812,59809.88
2024-01-01,ORD-00103,Sul,Outros,Enterprise,Enterprise Pro,Cobalto Indústria,1,63540.82,0.0583,59410.64,34553.12,24857.53,0.4184,62742.21
2024-01-22,ORD-00104,Centro-Oeste,Venda direta,Mid-market,Enterprise Pro,Vértice Logística,2,62998.45,0.0451,118331.00,68582.03,49748.97,0.4204,123531.12
2024-01-08,ORD-00105,Sudeste,Venda direta,Enterprise,Data Cloud,Pulsar Tech,1,47017.59,0.0473,46539.78,30091.05,16448.74,0.3534,48118.39
2024-01-18,ORD-00106,Nordeste,Parceiros,Enterprise,Enterprise Plus,Mosaico Labs,1,71996.31,0.1217,65135.68,47810.83,17324.85,0.2660,67262.05
2024-01-02,ORD-00107,Sul,Parceiros,Mid-market,Analytics Core,Prisma Serviços,3,34386.88,0.0961,90972.73,64592.60,26380.12,0.2900,94945.09
2024-01-01,ORD-00108,Sudeste,Venda direta,Enterprise,Revenue Starter,Orbe Retail,2,18038.49,0.0606,33435.16,19068.09,14367.08,0.4297,34646.85
2024-01-09,ORD-00109,Sudeste,Digital,Mid-market,Enterprise Pro,Atlas Group,2,64280.22,0.0810,119738.26,72054.56,47683.70,0.3982,124191.64
2024-02-11,ORD-00110,Sudeste,Parceiros,Mid-market,Revenue Starter,Lumina Saúde,3,18402.26,0.1195,48950.31,28561.67,20388.64,0.4165,50451.07
2024-02-27,ORD-00111,Nordeste,Venda direta,Enterprise,Revenue Starter,Horizonte Telecom,1,18133.19,0.0480,17353.30,9675.54,7677.76,0.4424,17979.05
2024-02-22,ORD-00112,Nordeste,Digital,Enterprise,Revenue Starter,Cobalto Indústria,1,18211.00,0.0593,16903.19,9382.10,7521.09,0.4450,17486.47
2024-02-20,ORD-00113,Sudeste,Parceiros,Enterprise,Analytics Core,Horizonte Telecom,1,34943.81,0.1139,31467.78,22400.56,9067.23,0.2881,32419.83
2024-02-11,ORD-00114,Nordeste,Parceiros,SMB,Revenue Starter,Pulsar Tech,4,18536.81,0.1077,68836.93,40119.72,28717.21,0.4172,70860.49
2024-02-12,ORD-00115,Sudeste,Digital,Enterprise,Enterprise Pro,Cobalto Indústria,1,62160.91,0.0531,57109.47,33114.73,23994.75,0.4202,59334.26
2024-02-18,ORD-00116,Sul,Digital,Mid-market,Enterprise Plus,Prisma Serviços,1,72115.52,0.0653,65475.17,47234.62,18240.55,0.2786,68242.69
2024-02-02,ORD-00117,Sudeste,Outros,Enterprise,Enterprise Plus,Lumina Saúde,1,72333.35,0.0671,68694.79,48320.68,20374.11,0.2966,70836.77
2024-02-23,ORD-00118,Sul,Venda direta,Enterprise,Data Cloud,Cobalto Indústria,1,47355.21,0.0446,46609.53,29605.61,17003.91,0.3648,47815.47
2024-02-07,ORD-00119,Sudeste,Parceiros,Enterprise,Data Cloud,Orbe Retail,1,46689.03,0.0932,43834.61,29289.72,14544.89,0.3318,45372.17
2024-02-07,ORD-00120,Nordeste,Digital,Mid-market,Data Cloud,Nexo Energia,3,49636.22,0.0836,133248.91,86777.08,46471.83,0.3488,140484.44
2024-02-06,ORD-00121,Sul,Digital,SMB,Enterprise Plus,Via Norte,4,71440.25,0.0717,264490.73,185139.00,79351.72,0.3000,275956.89
2024-02-17,ORD-00122,Nordeste,Venda direta,Enterprise,Enterprise Pro,Via Norte,1,60901.61,0.0377,60359.28,35454.61,24904.67,0.4126,63035.59
2024-02-05,ORD-00123,Sul,Parceiros,Mid-market,Analytics Core,Prisma Serviços,2,36115.78,0.0965,63746.19,45363.42,18382.78,0.2884,65605.00
2024-02-14,ORD-00124,Sudeste,Parceiros,SMB,Revenue Starter,Horizonte Telecom,4,18129.20,0.1060,66823.09,39167.33,27655.76,0.4139,69700.83
2024-02-24,ORD-00125,Nordeste,Parceiros,SMB,Enterprise Pro,Atlas Group,3,61243.26,0.0968,167807.09,103392.64,64414.45,0.3839,174803.44
2024-02-03,ORD-00126,Centro-Oeste,Venda direta,SMB,Analytics Core,Orbe Retail,2,35165.80,0.0384,65658.44,45331.06,20327.38,0.3096,68502.97
2024-02-15,ORD-00127,Sudeste,Parceiros,Enterprise,Analytics Core,Via Norte,1,34353.49,0.0968,31591.76,22242.80,9348.96,0.2959,32800.34
2024-02-13,ORD-00128,Sudeste,Venda direta,Mid-market,Enterprise Pro,Atlas Group,2,64465.17,0.0580,119282.76,71822.23,47460.53,0.3979,124162.67
2024-02-16,ORD-00129,Sudeste,Venda direta,Enterprise,Enterprise Plus,Vértice Logística,1,69598.64,0.0416,66882.47,46990.97,19891.50,0.2974,70196.52
2024-02-12,ORD-00130,Nordeste,Venda direta,Enterprise,Data Cloud,Lumina Saúde,1,48429.62,0.0445,45370.51,28505.41,16865.10,0.3717,47055.40
2024-02-01,ORD-00131,Sudeste,Venda direta,SMB,Analytics Core,Mosaico Labs,4,34621.44,0.0430,138458.78,97196.47,41262.31,0.2980,143371.35
2024-02-18,ORD-00132,Sudeste,Digital,SMB,Analytics Core,Atlas Group,2,35791.41,0.0736,67631.66,46160.15,21471.51,0.3175,69785.83
2024-02-26,ORD-00133,Sudeste,Venda direta,Enterprise,Enterprise Pro,Lumina Saúde,1,64469.45,0.0368,61569.01,36311.30,25257.72,0.4102,64450.23
2024-02-26,ORD-00134,Sudeste,Venda direta,Enterprise,Revenue Starter,Prisma Serviços,1,18667.74,0.0362,17484.76,9991.61,7493.15,0.4286,17975.58
2024-02-13,ORD-00135,Centro-Oeste,Venda direta,SMB,Enterprise Plus,Horizonte Telecom,3,72647.82,0.0661,212925.47,149881.81,63043.66,0.2961,221302.35
2024-02-23,ORD-00136,Nordeste,Digital,Enterprise,Data Cloud,Cobalto Indústria,1,46323.57,0.0731,42366.77,26960.91,15405.86,0.3636,43598.43
2024-02-08,ORD-00137,Sudeste,Venda direta,Enterprise,Data Cloud,Pulsar Tech,1,48241.53,0.0475,45497.24,28948.72,16548.52,0.3637,47420.23
2024-02-25,ORD-00138,Sudeste,Venda direta,Enterprise,Data Cloud,Pulsar Tech,1,48838.31,0.0442,45886.10,29483.95,16402.14,0.3575,48402.32
2024-02-22,ORD-00139,Centro-Oeste,Digital,Enterprise,Analytics Core,Lumina Saúde,1,34837.72,0.0536,34515.16,23844.69,10670.47,0.3092,36583.36
2024-02-23,ORD-00140,Centro-Oeste,Venda direta,Mid-market,Enterprise Pro,Aurora Foods,3,60323.45,0.0622,172230.68,99827.08,72403.60,0.4204,178697.09
2024-02-05,ORD-00141,Centro-Oeste,Venda direta,Enterprise,Analytics Core,Mosaico Labs,1,35070.63,0.0427,32736.58,22790.60,9945.98,0.3038,34265.69
2024-02-13,ORD-00142,Sudeste,Venda direta,Enterprise,Revenue Starter,Pulsar Tech,1,18081.85,0.0411,16831.61,9627.90,7203.71,0.4280,17567.60
2024-02-01,ORD-00143,Sudeste,Digital,Enterprise,Enterprise Pro,Lumina Saúde,1,59972.36,0.0657,57882.80,33822.59,24060.21,0.4157,60790.58
2024-02-01,ORD-00144,Sudeste,Venda direta,Mid-market,Enterprise Plus,Orbe Retail,2,71063.40,0.0628,129525.75,92240.71,37285.04,0.2879,136634.95
2024-02-08,ORD-00145,Sul,Outros,SMB,Data Cloud,Lumina Saúde,2,48080.26,0.0478,95807.04,61445.11,34361.93,0.3587,98993.47
2024-02-15,ORD-00146,Sudeste,Venda direta,Mid-market,Data Cloud,Via Norte,1,49294.08,0.0591,47219.78,29725.18,17494.60,0.3705,48688.52
2024-02-14,ORD-00147,Nordeste,Parceiros,Enterprise,Data Cloud,Mosaico Labs,1,48192.73,0.1232,41281.31,27547.42,13733.89,0.3327,43322.08
2024-02-25,ORD-00148,Nordeste,Digital,Mid-market,Data Cloud,Via Norte,1,48800.37,0.0771,44048.14,28083.25,15964.89,0.3624,45790.62
2024-02-22,ORD-00149,Sudeste,Digital,Enterprise,Enterprise Pro,Vértice Logística,1,62125.63,0.0615,57145.68,33882.49,23263.19,0.4071,58992.56
2024-02-06,ORD-00150,Sul,Digital,SMB,Revenue Starter,Pulsar Tech,4,18316.30,0.0575,69658.95,39224.17,30434.78,0.4369,72497.02
2024-02-07,ORD-00151,Sul,Parceiros,Enterprise,Enterprise Pro,Cobalto Indústria,1,64232.39,0.0906,59676.13,36939.06,22737.07,0.3810,62255.49
2024-02-19,ORD-00152,Sudeste,Parceiros,Mid-market,Analytics Core,Via Norte,1,34646.11,0.1045,31096.12,21915.70,9180.42,0.2952,32322.21
2024-02-17,ORD-00153,Nordeste,Outros,Enterprise,Data Cloud,Mosaico Labs,1,48256.21,0.0352,47437.87,30324.99,17112.88,0.3607,49736.84
2024-02-09,ORD-00154,Sudeste,Venda direta,SMB,Revenue Starter,Horizonte Telecom,4,17540.91,0.0406,66016.53,36725.19,29291.34,0.4437,68466.24
2024-02-24,ORD-00155,Sul,Parceiros,Enterprise,Revenue Starter,Aurora Foods,1,17924.23,0.0975,16876.00,9933.11,6942.89,0.4114,17673.22
2024-02-08,ORD-00156,Nordeste,Digital,Enterprise,Revenue Starter,Pulsar Tech,1,17426.66,0.0787,16158.85,9134.56,7024.29,0.4347,16712.52
2024-02-18,ORD-00157,Nordeste,Parceiros,SMB,Enterprise Plus,Cobalto Indústria,3,70620.92,0.1112,186643.17,139514.82,47128.35,0.2525,194638.60
2024-02-20,ORD-00158,Centro-Oeste,Venda direta,Mid-market,Enterprise Plus,Vértice Logística,3,73245.06,0.0466,218666.18,157680.98,60985.19,0.2789,225657.12
2024-02-15,ORD-00159,Nordeste,Digital,Enterprise,Enterprise Pro,Vértice Logística,1,63168.64,0.0828,57727.75,34742.90,22984.85,0.3982,60698.23
2024-02-23,ORD-00160,Nordeste,Digital,Enterprise,Analytics Core,Via Norte,1,35746.82,0.0787,34223.66,23634.14,10589.52,0.3094,35922.83
2024-02-19,ORD-00161,Sul,Digital,Enterprise,Enterprise Pro,Horizonte Telecom,1,60178.66,0.0593,57689.97,34187.73,23502.24,0.4074,60786.72
2024-02-06,ORD-00162,Nordeste,Digital,Enterprise,Enterprise Pro,Nexo Energia,1,64330.76,0.0698,61152.70,35542.81,25609.89,0.4188,63893.40
2024-02-11,ORD-00163,Sudeste,Parceiros,Enterprise,Data Cloud,Horizonte Telecom,1,48909.57,0.1021,42823.29,28541.68,14281.61,0.3335,44573.25
2024-02-09,ORD-00164,Nordeste,Digital,Mid-market,Enterprise Pro,Orbe Retail,3,61169.03,0.0755,172131.92,100914.15,71217.77,0.4137,176872.83
